nK,nL,nH,n1,n2,n3,n4,coefficient
1,1,-1,1,1,0,1,4*(3*D**2*z**2 - 10*D**2*z + 8*D**2 - 11*D*z**2 + 52*D*z - 64*D + 26*z**2 - 148*z + 192)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,1,1,-1,-4*(D - 4)*(D**2*z - 2*D**2 - 8*D*z + 26*D + 16*z - 60)/(z*(D - 2)*(z - 4)**2)
1,1,-1,1,1,1,0,-8*(D**2*z - 4*D**2 - 8*D*z + 32*D + 20*z - 72)/(z*(D - 2)*(z - 4))
1,1,-1,1,1,1,1,32*(D + z - 5)/((D - 2)*(z - 4))
1,1,0,-1,1,0,1,2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,-1,1,1,1,-64*(D - 3)*(D + z - 5)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,-1,1,1,4*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,0,0,0,1,-2*(D**3*z - 4*D**3 - 18*D**2*z + 72*D**2 + 86*D*z - 352*D - 140*z + 568)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,0,1,0,2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,0,0,1,1,4*(D**2*z**2 - 2*D**2*z + 8*D**2 - 2*D*z**2 + 8*D*z - 64*D - 24*z + 144)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,-1,1,-4*(4*D**2 + 5*D*z - 36*D - 18*z + 84)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,0,0,2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,0,1,0,1,-8*(3*D**2*z - 4*D**2 + 3*D*z**2 - 28*D*z + 32*D - 10*z**2 + 64*z - 72)/(z*(D - 2)*(z - 4)**2)
1,1,0,0,1,1,0,-16*(D - 3)*(D*z**2 - 8*D*z + 8*D - 6*z**2 + 36*z - 40)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,-2,1,1,-4*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,1,-1,0,1,-4*(2*D**2*z - 4*D**2 - 9*D*z + 28*D + 18*z - 68)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,-1,1,0,-4*(4*D**2 + 5*D*z - 36*D - 18*z + 84)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,-1,1,1,-4*(D*z**2 - 2*D*z - 8)/(z*(z - 4)**2)
1,1,0,1,0,-1,1,-4*(2*D**2*z - 4*D**2 - 9*D*z + 28*D + 18*z - 68)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,0,0,-2*(D**3*z - 4*D**3 - 18*D**2*z + 72*D**2 + 86*D*z - 352*D - 140*z + 568)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,0,1,-16*(z - 2)*(D*z - 2*D - 2)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,1,-1,2*(D - 4)*(D**2 - 12*D + 28)/(z*(D - 2)*(z - 4))
1,1,0,1,0,1,0,-8*(3*D**2*z - 4*D**2 + 3*D*z**2 - 28*D*z + 32*D - 10*z**2 + 64*z - 72)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,0,1,1,-8*(z - 2)/(z - 4)
1,1,0,1,1,-2,1,-4*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,1,1,-1,0,4*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,1,0,1,1,-1,1,-4*(D*z**2 - 2*D*z - 8)/(z*(z - 4)**2)
1,1,0,1,1,0,0,4*(D**2*z**2 - 2*D**2*z + 8*D**2 - 2*D*z**2 + 8*D*z - 64*D - 24*z + 144)/(z*(D - 2)*(z - 4)**2)
1,1,0,1,1,0,1,-8*(z - 2)/(z - 4)
1,1,0,1,1,1,-1,-64*(D - 3)*(D + z - 5)/(z*(D - 2)*(z - 4)**2)
