target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
11,"(-1, 1, 1, 1, -1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(3*D - 8)*(D**2*z**2 + 8*D**2*z + 96*D**2 - 7*D*z**2 - 48*D*z - 656*D + 12*z**2 + 68*z + 1120)/(4*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(3*D**3*z**3 + 86*D**3*z**2 + 96*D**3*z + 640*D**3 - 29*D**2*z**3 - 838*D**2*z**2 - 696*D**2*z - 6144*D**2 + 92*D*z**3 + 2696*D*z**2 + 1504*D*z + 19552*D - 96*z**3 - 2864*z**2 - 864*z - 20608)/(2*(D - 4)*(D - 3)*(2*D - 7)*(3*D - 8)*(z - 4)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",(3*D - 8)/(D - 3),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",(9*D**2*z**2 + 48*D**2*z - 64*D**2 - 54*D*z**2 - 284*D*z + 384*D + 80*z**2 + 416*z - 560)/(4*(2*D - 7)*(3*D - 8)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",9,"(0, 1, 1, 1, 0, 0, 1)",-(7*D*z + 8*D - 18*z - 24)/(3*D - 8),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",10,"(0, 1, 1, 1, 0, 1, 1)",z*(D*z + 32*D - 4*z - 116)/(2*(D - 3)),1,91,3,exact
11,"(-1, 1, 1, 1, -1, 1, 1)",11,"(0, 1, 1, 1, 1, 0, 2)",-z*(z - 4)*(z + 8)/(D - 3),1,91,3,exact
12,"(-1, 1, 1, 1, 0, 0, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",1,1,91,3,exact
12,"(-1, 1, 1, 1, 0, 0, 1)",9,"(0, 1, 1, 1, 0, 0, 1)",2*(D - 3)*(z - 4)/(3*D - 8),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)**2/(8*(D - 4)*(D - 3)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)**2*(5*D*z - 8*D - 18*z + 28)/(8*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D - 2)/(2*(D - 3)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",-2/((D - 4)**2*(D - 3)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D - 8)*(D*z + 8*D - 4*z - 28)/(4*(D - 4)*(2*D - 7)*(z - 4)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D**2*z**2 + 14*D**2*z - 7*D*z**2 - 96*D*z + 16*D + 12*z**2 + 164*z - 56)/(2*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-(3*D*z - 8*D - 10*z + 28)/(4*(2*D - 7)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",9,"(0, 1, 1, 1, 0, 0, 1)",1,1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",10,"(0, 1, 1, 1, 0, 1, 1)",-(D*z + 8*D - 4*z - 28)/(2*(D - 3)),1,91,3,exact
13,"(-1, 1, 1, 1, 0, 1, 1)",11,"(0, 1, 1, 1, 1, 0, 2)",z*(z - 4)/(D - 3),1,91,3,exact
