D,z,target_index,basis_index,coeff
6,-1,0,6,151/600
6,-1,0,7,3/4
6,-1,0,8,-89/10
6,-1,0,9,-11/2
6,-1,0,10,17/2
6,-1,0,11,-35/3
6,-1,1,0,32/15
6,-1,1,1,209/75
6,-1,1,2,7/5
6,-1,1,3,7/6
6,-1,1,4,9/4
6,-1,1,5,63/10
6,-1,1,6,44/25
6,-1,1,8,-19/5
6,-1,1,9,1/2
6,-1,1,10,-4
6,-1,1,11,-35/3
6,-1,2,2,1
6,-1,2,4,-5/2
6,-1,3,0,-1/3
6,-1,3,1,-1/3
6,-1,3,2,5/3
6,-1,4,0,-1/5
6,-1,4,1,-1/5
6,-1,4,2,2/5
6,-1,4,4,3/2
6,-1,5,0,-1/12
6,-1,5,2,17/12
6,-1,5,5,-7/8
6,-1,5,6,5/24
6,-1,6,0,-1/3
6,-1,6,2,5/3
6,-1,6,5,1/2
6,-1,6,6,5/6
6,-1,7,0,-4/3
6,-1,7,2,4/3
6,-1,7,4,3/2
6,-1,7,5,-5
6,-1,7,6,-4/3
6,-1,8,0,-5/6
6,-1,8,7,-7/4
6,-1,9,1,-1/5
6,-1,9,6,1/5
6,-1,9,8,-21/10
6,-1,10,0,-1/5
6,-1,10,1,-1/5
6,-1,10,2,-23/30
6,-1,10,6,1/6
6,-1,10,8,-3/2
6,-1,11,0,13/3
6,-1,11,1,68/25
6,-1,11,2,2
6,-1,11,3,7/6
6,-1,11,5,289/30
6,-1,11,6,193/50
6,-1,11,7,10/3
6,-1,11,8,-23/5
6,-1,11,10,-37/3
6,-1,11,11,-35/3
6,-1,12,7,1
6,-1,12,9,-3
6,-1,13,0,-1/3
6,-1,13,1,-32/75
6,-1,13,2,2/3
6,-1,13,3,-1/6
6,-1,13,5,-9/10
6,-1,13,6,23/150
6,-1,13,8,7/5
6,-1,13,9,1
6,-1,13,10,-3
6,-1,13,11,5/3
6,-1,14,0,-22/45
6,-1,14,1,-64/75
6,-1,14,2,-2/3
6,-1,14,3,-1/3
6,-1,14,4,-4/5
6,-1,14,5,-17/15
6,-1,14,6,-17/75
6,-1,14,8,4/5
6,-1,14,10,2/3
6,-1,14,11,10/3
6,-1,15,0,7/15
6,-1,15,1,-13/15
6,-1,15,2,-4/15
6,-1,15,4,3/2
6,-1,16,2,1
6,-1,17,4,1
6,-1,18,0,-2/3
6,-1,19,1,-2/3
6,-1,20,0,-1/5
6,-1,20,1,-1/5
6,-1,20,2,-3/5
6,-1,21,2,-2/3
6,-1,22,2,-2/5
6,-1,22,4,-3/5
6,-1,23,0,-1/6
6,-1,23,2,-1/2
6,-1,23,5,-7/4
6,-1,23,6,-5/4
6,-1,24,0,-2/3
6,-1,25,5,1
6,-1,27,2,-2/3
6,-1,27,6,-1/3
6,-1,28,0,8/15
6,-1,28,2,-4/5
6,-1,28,4,-3/5
6,-1,28,5,2
6,-1,28,6,2/5
6,-1,29,1,-1/5
6,-1,29,5,3/4
6,-1,29,6,-1/20
6,-1,29,7,-3/4
6,-1,29,8,12/5
6,-1,30,0,19/90
6,-1,30,1,1/10
6,-1,30,2,3/10
6,-1,30,5,5/4
6,-1,30,6,1/4
6,-1,30,7,-5/12
6,-1,30,8,3/2
6,-1,31,7,1
6,-1,33,0,4/9
6,-1,33,7,5/6
6,-1,34,1,-4/15
6,-1,34,5,1
6,-1,34,6,3/5
6,-1,34,8,6/5
6,-1,35,8,1
6,-1,37,0,2/15
6,-1,37,1,2/25
6,-1,37,2,2/5
6,-1,37,5,1/5
6,-1,37,6,1/25
6,-1,37,8,4/5
6,-1,38,0,-10/9
6,-1,38,1,-64/75
6,-1,38,3,-1/3
6,-1,38,5,-9/5
6,-1,38,6,-9/25
6,-1,38,7,-5/6
6,-1,38,8,9/5
6,-1,38,9,1
6,-1,38,10,7/3
6,-1,38,11,10/3
6,-1,39,9,1
6,1,0,0,31/12
6,1,0,1,13/15
6,1,0,2,-13/4
6,1,0,3,1
6,1,0,5,95/8
6,1,0,6,47/8
6,1,0,7,3/4
6,1,0,8,-27/10
6,1,0,9,-51/10
6,1,0,10,29/2
6,1,0,11,6
6,1,1,0,-2
6,1,1,1,-11/9
6,1,1,2,1
6,1,1,3,-5/6
6,1,1,4,9/4
6,1,1,5,-55/6
6,1,1,6,-5
6,1,1,8,-3
6,1,1,9,1/2
6,1,1,10,-10/3
6,1,1,11,-5
6,1,2,2,1
6,1,2,4,-3/2
6,1,3,0,-1/3
6,1,3,1,-1/3
6,1,3,2,1
6,1,4,0,-1/3
6,1,4,1,-1/3
6,1,4,4,3/2
6,1,5,0,-1/12
6,1,5,2,5/4
6,1,5,5,-7/8
6,1,5,6,1/8
6,1,6,0,-1/3
6,1,6,2,1
6,1,6,5,1/2
6,1,6,6,1/2
6,1,7,0,4/3
