probe,target_index,basis_index,coefficient
3,14,3,-2048/15
3,14,4,2
3,14,5,-1311/260
3,14,6,-76/13
3,14,8,7/4
3,14,10,-3/5
3,14,11,208/15
3,15,0,22/5
3,15,1,-17/5
3,15,2,-526/195
3,15,4,-5/3
3,16,2,1
3,17,4,1
3,18,0,-13/10
3,19,1,-13/10
3,20,0,1/2
3,20,1,1/2
3,20,2,10/13
3,21,2,-13/10
3,22,2,1
3,22,4,10/13
3,23,0,-4/5
3,23,2,-1/6
3,23,5,-18/13
3,23,6,-8/3
3,24,0,-13/10
3,25,5,1
3,27,2,-13/10
3,27,6,-8/5
3,28,0,-39/5
3,28,2,2
3,28,4,10/13
3,28,5,-138/13
3,28,6,-160/13
3,29,1,-13/46
3,29,5,5/13
3,29,6,64/299
3,29,7,-5/13
3,29,8,530/897
3,30,0,287/300
3,30,1,-1/12
3,30,2,-5/39
3,30,5,23/26
3,30,6,40/39
3,30,7,69/260
3,30,8,-11/78
3,31,7,1
3,33,0,169/100
3,33,7,23/20
3,34,1,-169/230
3,34,5,1
3,34,6,112/69
3,34,8,20/23
3,35,8,1
3,37,0,-13/20
3,37,1,-13/8
3,37,2,-1
3,37,5,69/52
3,37,6,20/13
3,37,8,7/4
3,38,0,169/150
3,38,1,65/24
3,38,3,-2048/45
3,38,5,207/52
3,38,6,60/13
3,38,7,-23/20
3,38,8,19/12
3,38,9,1
3,38,10,-1/15
3,38,11,208/45
3,39,9,1
