D,z,target_index,basis_index,coeff
13,-2,14,11,6/5
13,-2,15,0,187/1080
13,-2,15,1,-407/1080
13,-2,15,2,-167/540
13,-2,15,4,10/9
13,-2,16,2,1
13,-2,17,4,1
13,-2,18,0,-11/20
13,-2,19,1,-11/20
13,-2,20,0,-11/108
13,-2,20,1,-11/108
13,-2,20,2,-10/27
13,-2,21,2,-11/20
13,-2,22,2,-11/54
13,-2,22,4,-10/27
13,-2,23,0,-1/20
13,-2,23,2,-1
13,-2,23,5,-21/11
13,-2,23,6,-6/11
13,-2,24,0,-11/20
13,-2,25,5,1
13,-2,27,2,-11/20
13,-2,27,6,-1/10
13,-2,28,0,121/1080
13,-2,28,2,-11/27
13,-2,28,4,-10/27
13,-2,28,5,31/54
13,-2,29,1,-11/62
13,-2,29,5,10/11
13,-2,29,6,-4/31
13,-2,29,7,-10/11
13,-2,29,8,1640/341
13,-2,30,0,1397/10800
13,-2,30,1,11/108
13,-2,30,2,10/27
13,-2,30,5,31/22
13,-2,30,7,-279/440
13,-2,30,8,38/11
13,-2,31,7,1
13,-2,33,0,121/400
13,-2,33,7,31/40
13,-2,34,1,-121/620
13,-2,34,5,1
13,-2,34,6,8/31
13,-2,34,8,40/31
13,-2,35,8,1
13,-2,37,0,121/2160
13,-2,37,1,121/4104
13,-2,37,2,11/54
13,-2,37,5,31/228
13,-2,37,8,29/38
13,-2,38,0,-2299/3600
13,-2,38,1,-2057/4104
13,-2,38,3,-2/405
13,-2,38,5,-899/1026
13,-2,38,7,-31/40
13,-2,38,8,48/19
13,-2,38,9,1
13,-2,38,10,28/5
13,-2,38,11,12/5
13,-2,39,9,1
13,-1,0,0,2681/1440
13,-1,0,1,87835/56544
13,-1,0,2,-25/8
13,-1,0,3,35/1782
13,-1,0,5,87059/15048
13,-1,0,6,1207/116622
13,-1,0,7,10/11
13,-1,0,8,-508825/51832
13,-1,0,9,-4325/682
13,-1,0,10,75/8
13,-1,0,11,-175/44
13,-1,1,0,407/240
13,-1,1,1,114763/68400
13,-1,1,2,133/180
13,-1,1,3,91/4455
13,-1,1,4,130/99
13,-1,1,5,30163/4180
13,-1,1,6,743/1045
13,-1,1,8,-3475/836
13,-1,1,9,9/11
13,-1,1,10,-1503/220
13,-1,1,11,-91/22
13,-1,2,2,1
13,-1,2,4,-5/2
13,-1,3,0,-11/40
13,-1,3,1,-11/40
13,-1,3,2,11/8
13,-1,4,0,-11/90
13,-1,4,1,-11/90
13,-1,4,2,1/6
13,-1,4,4,10/9
13,-1,5,0,-1/40
13,-1,5,2,9/8
13,-1,5,5,-21/22
13,-1,5,6,1/44
13,-1,6,0,-11/40
13,-1,6,2,11/8
13,-1,6,5,1/2
13,-1,6,6,1/4
13,-1,7,0,-121/180
13,-1,7,2,121/180
13,-1,7,4,10/9
13,-1,7,5,-31/9
13,-1,7,6,-29/90
13,-1,8,0,-3/5
13,-1,8,7,-21/11
13,-1,9,1,-11/62
13,-1,9,6,29/341
13,-1,9,8,-840/341
13,-1,10,0,-11/90
13,-1,10,1,-11/90
13,-1,10,2,-89/180
13,-1,10,6,9/110
13,-1,10,8,-20/11
13,-1,11,0,8789/3600
13,-1,11,1,938597/706800
13,-1,11,2,33/20
13,-1,11,3,7/405
13,-1,11,5,25141/3420
13,-1,11,6,11321/10602
13,-1,11,7,31/10
13,-1,11,8,-10321/2356
13,-1,11,9,-7/31
13,-1,11,10,-291/20
13,-1,11,11,-7/2
13,-1,12,7,1
13,-1,12,9,-100/31
13,-1,13,0,-121/720
13,-1,13,1,-4961/22800
13,-1,13,2,11/20
13,-1,13,3,-1/405
13,-1,13,5,-2077/3420
13,-1,13,6,52/855
13,-1,13,8,105/76
13,-1,13,9,1
13,-1,13,10,-67/20
13,-1,13,11,1/2
13,-1,14,0,-2783/9000
13,-1,14,1,-4961/11400
13,-1,14,2,-22/75
13,-1,14,3,-2/405
13,-1,14,4,-22/45
13,-1,14,5,-1023/950
13,-1,14,6,-33/475
13,-1,14,8,29/38
13,-1,14,10,9/10
13,-1,14,11,1
13,-1,15,0,77/180
13,-1,15,1,-121/180
13,-1,15,2,-23/60
13,-1,15,4,10/9
13,-1,16,2,1
13,-1,17,4,1
13,-1,18,0,-11/20
13,-1,19,1,-11/20
